N,P,K,temperature,humidity,ph,rainfall,crop,location,season,yield
8,28,43,22.39,88.85,6.27,107.97,pomegranate,Northeast Plain,Kharif,4.48
20,11,34,23.29,85.24,6.38,119.46,pomegranate,Central Plateau,Whole Year,4.51
6,27,43,23.21,88.88,6.7,92.29,pomegranate,Coastal Delta,Kharif,4.98
16,25,31,23.17,84.28,6.65,111.01,pomegranate,Coastal Delta,Whole Year,4.61
18,21,33,21.53,88.88,6.63,109.7,pomegranate,Central Plateau,Zaid,4.5
25,22,43,23.76,84.59,6.35,109.96,pomegranate,Western Dry Zone,Kharif,4.58
24,16,35,22.75,85.48,6.77,113.01,pomegranate,Northeast Plain,Kharif,4.34
16,16,42,21.43,83.06,6.73,116.5,pomegranate,Coastal Delta,Rabi,4.87
15,11,31,24.5,84.34,6.58,95.17,pomegranate,Central Plateau,Zaid,5.12
26,16,43,21.0,90.09,6.54,106.9,pomegranate,Coastal Delta,Zaid,5.25
12,21,37,25.09,88.38,6.99,109.88,pomegranate,Central Plateau,Whole Year,4.79
14,13,40,20.8,85.74,6.4,95.18,pomegranate,Western Dry Zone,Whole Year,4.97
21,18,47,23.5,89.05,6.25,100.78,pomegranate,Central Plateau,Kharif,4.83
17,21,49,24.83,88.42,6.88,103.7,pomegranate,Western Dry Zone,Rabi,4.37
10,15,37,23.56,88.35,6.42,113.93,pomegranate,Northeast Plain,Whole Year,5.13
19,13,49,22.59,92.51,5.85,107.38,pomegranate,Southern Hills,Whole Year,4.56
27,19,37,23.65,86.22,6.69,100.45,pomegranate,Southern Hills,Zaid,4.25
24,25,40,21.21,88.31,6.34,106.12,pomegranate,Southern Hills,Kharif,5.07
16,28,45,19.84,87.39,6.27,100.45,pomegranate,Southern Hills,Rabi,4.52
12,19,40,20.86,87.53,6.37,110.2,pomegranate,Western Dry Zone,Whole Year,3.98
16,5,33,20.22,83.17,6.65,109.63,pomegranate,Central Plateau,Zaid,4.97
22,21,36,23.55,87.37,6.65,106.54,pomegranate,Coastal Delta,Whole Year,5.12
15,12,40,24.66,87.18,6.04,103.76,pomegranate,Northeast Plain,Kharif,5.39
16,14,37,20.13,85.28,6.97,111.75,pomegranate,Northeast Plain,Kharif,4.66
24,22,32,22.38,82.78,6.8,101.74,pomegranate,Southern Hills,Kharif,5.43
19,23,44,21.45,87.35,6.57,110.55,pomegranate,Western Dry Zone,Zaid,4.66
20,12,44,22.85,85.22,6.16,102.34,pomegranate,Central Plateau,Whole Year,4.03
13,21,34,23.79,89.09,6.71,110.55,pomegranate,Western Dry Zone,Kharif,4.0
7,22,40,22.84,91.1,6.5,99.31,pomegranate,Coastal Delta,Whole Year,5.24
27,14,37,20.62,87.07,6.14,107.56,pomegranate,Coastal Delta,Kharif,4.03
10,16,48,24.04,82.83,6.93,95.55,pomegranate,Central Plateau,Rabi,4.41
28,19,39,23.74,92.28,6.46,111.16,pomegranate,Western Dry Zone,Kharif,5.19
19,23,36,21.51,87.2,6.74,109.4,pomegranate,Northeast Plain,Whole Year,4.81
10,28,40,22.05,86.42,6.64,104.35,pomegranate,Central Plateau,Rabi,4.34
13,25,33,22.12,87.37,6.51,114.79,pomegranate,Coastal Delta,Rabi,4.57
29,25,46,24.76,90.92,6.53,105.71,pomegranate,Southern Hills,Zaid,4.21
14,23,39,20.6,85.22,5.74,101.35,pomegranate,Coastal Delta,Rabi,4.25
18,8,36,21.37,90.27,7.14,115.04,pomegranate,Northeast Plain,Rabi,4.68
11,18,39,21.47,88.13,6.05,103.01,pomegranate,Western Dry Zone,Rabi,4.0
17,16,42,21.32,91.25,6.52,96.31,pomegranate,Western Dry Zone,Rabi,4.98
28,26,38,24.61,87.89,6.83,108.58,pomegranate,Northeast Plain,Zaid,4.97
18,16,44,20.36,86.65,6.78,96.13,pomegranate,Northeast Plain,Whole Year,4.61
20,22,50,20.41,91.12,6.67,108.28,pomegranate,Central Plateau,Zaid,4.76
14,19,38,24.3,88.95,5.88,105.29,pomegranate,Southern Hills,Kharif,4.1
23,13,47,20.31,87.2,6.35,105.72,pomegranate,Coastal Delta,Rabi,4.93
22,17,41,24.54,85.07,6.16,102.31,pomegranate,Western Dry Zone,Rabi,4.31
14,19,37,20.46,88.75,6.47,117.82,pomegranate,Northeast Plain,Rabi,5.06
20,8,42,22.44,87.84,6.3,101.85,pomegranate,Central Plateau,Whole Year,5.17
7,27,48,23.79,91.13,6.02,100.23,pomegranate,Western Dry Zone,Zaid,4.08
13,29,36,23.0,89.04,6.2,111.0,pomegranate,Central Plateau,Rabi,5.01
25,10,46,20.49,85.61,7.0,107.04,pomegranate,Central Plateau,Zaid,5.29
14,19,42,22.28,91.46,6.96,102.31,pomegranate,Western Dry Zone,Zaid,4.82
17,17,32,21.42,87.67,6.53,99.08,pomegranate,Southern Hills,Kharif,5.36
12,14,43,22.99,92.11,5.88,105.69,pomegranate,Southern Hills,Rabi,4.91
20,18,39,19.74,88.69,6.59,106.33,pomegranate,Northeast Plain,Rabi,4.12
102,84,52,26.25,84.97,5.97,112.36,banana,Central Plateau,Whole Year,7.61
108,71,43,27.79,81.09,5.57,116.37,banana,Northeast Plain,Rabi,8.14
100,93,49,27.39,77.08,5.91,119.27,banana,Central Plateau,Rabi,7.45
103,77,46,25.45,83.28,6.4,109.14,banana,Western Dry Zone,Whole Year,7.3
103,86,44,26.8,76.9,5.81,91.61,banana,Western Dry Zone,Kharif,7.16
111,85,53,25.94,79.99,5.81,114.44,banana,Southern Hills,Rabi,7.28
99,79,44,26.99,79.64,5.65,107.07,banana,Western Dry Zone,Zaid,7.62
100,85,52,26.24,79.36,5.95,102.02,banana,Southern Hills,Rabi,6.7
93,80,49,26.62,78.46,6.29,108.73,banana,Central Plateau,Zaid,7.85
92,89,48,24.62,75.01,6.42,100.1,banana,Central Plateau,Rabi,6.91
111,82,41,25.86,81.16,6.52,111.53,banana,Southern Hills,Zaid,8.34
106,78,52,25.69,78.48,6.35,112.66,banana,Western Dry Zone,Zaid,8.27
88,75,52,24.28,77.95,5.87,109.63,banana,Southern Hills,Rabi,6.47
101,75,47,24.53,75.3,5.41,118.82,banana,Northeast Plain,Rabi,6.35
100,79,49,26.45,84.13,5.85,93.68,banana,Southern Hills,Whole Year,8.21
96,75,54,27.48,78.57,6.41,123.86,banana,Northeast Plain,Zaid,6.39
103,81,46,27.55,74.63,5.63,96.28,banana,Southern Hills,Whole Year,8.04
107,87,56,25.04,83.69,6.08,98.47,banana,Southern Hills,Kharif,7.14
99,91,46,28.03,77.39,5.81,111.11,banana,Coastal Delta,Rabi,8.29
106,78,43,25.22,80.45,6.15,108.07,banana,Central Plateau,Kharif,7.26
104,90,46,27.43,74.58,5.92,115.15,banana,Western Dry Zone,Whole Year,6.68
92,79,48,25.36,85.2,6.19,105.7,banana,Coastal Delta,Whole Year,8.4
97,75,51,25.05,78.05,6.2,92.37,banana,Western Dry Zone,Kharif,7.35
111,94,52,27.53,79.24,6.37,92.36,banana,Coastal Delta,Kharif,7.18
109,73,52,26.48,81.1,6.0,112.8,banana,Western Dry Zone,Kharif,7.9
106,84,40,26.06,82.97,6.18,112.97,banana,Western Dry Zone,Whole Year,8.31
87,90,47,27.58,77.83,5.92,98.9,banana,Coastal Delta,Whole Year,7.51
104,75,48,25.63,74.71,6.11,108.81,banana,Southern Hills,Kharif,7.63
89,85,57,27.08,84.25,5.68,88.55,banana,Central Plateau,Zaid,6.78
110,92,45,26.45,73.55,5.96,93.52,banana,Central Plateau,Kharif,7.49
88,85,47,25.99,85.73,5.98,97.25,banana,Coastal Delta,Kharif,7.75
90,81,54,25.15,75.39,5.86,108.01,banana,Coastal Delta,Kharif,8.34
94,75,49,25.73,72.96,6.09,104.33,banana,Western Dry Zone,Zaid,6.87
87,73,54,25.92,85.43,6.18,98.34,banana,Northeast Plain,Kharif,6.91
103,87,60,28.33,73.38,5.91,103.12,banana,Coastal Delta,Whole Year,6.51
90,82,56,26.82,85.27,5.84,101.45,banana,Central Plateau,Rabi,7.07
97,76,45,27.8,82.13,5.71,89.03,banana,Northeast Plain,Rabi,8.08
115,86,49,27.5,81.8,5.4,104.35,banana,Southern Hills,Kharif,6.81
92,87,52,25.33,82.83,6.09,99.3,banana,Southern Hills,Kharif,6.92
106,80,50,24.87,82.27,6.18,109.95,banana,Western Dry Zone,Whole Year,7.86
111,84,49,24.56,78.9,5.59,88.88,banana,Central Plateau,Rabi,7.2
114,82,44,25.5,80.68,6.14,94.92,banana,Western Dry Zone,Zaid,7.19
93,90,48,26.1,82.44,6.03,99.61,banana,Northeast Plain,Kharif,7.16
93,82,45,27.97,75.19,5.31,89.8,banana,Western Dry Zone,Zaid,7.47
98,89,50,28.41,84.86,5.84,98.03,banana,Coastal Delta,Zaid,7.9
102,91,47,27.1,81.61,5.83,114.09,banana,Northeast Plain,Whole Year,8.11
106,76,51,24.62,79.69,6.4,120.67,banana,Southern Hills,Rabi,7.01
107,89,52,24.95,81.18,6.02,112.06,banana,Western Dry Zone,Rabi,7.26
112,78,49,25.47,81.97,5.94,107.28,banana,Central Plateau,Rabi,8.33
101,87,54,26.59,86.09,6.27,97.24,banana,Western Dry Zone,Kharif,7.55
104,73,56,27.21,78.12,6.14,96.47,banana,Western Dry Zone,Zaid,7.1
103,85,55,25.09,82.86,6.07,83.54,banana,Western Dry Zone,Whole Year,6.87
102,75,43,25.2,74.16,5.84,105.23,banana,Northeast Plain,Zaid,6.75
90,88,52,28.12,81.2,6.22,107.69,banana,Western Dry Zone,Zaid,8.07
109,83,52,27.15,77.31,6.0,94.58,banana,Northeast Plain,Kharif,7.27
102,83,50,26.63,79.4,6.49,93.75,banana,Western Dry Zone,Whole Year,6.75
87,81,51,27.23,81.81,6.14,91.62,banana,Coastal Delta,Whole Year,6.96
109,76,44,24.72,73.94,5.69,113.9,banana,Central Plateau,Whole Year,7.78
92,78,49,25.7,79.85,5.9,90.65,banana,Northeast Plain,Zaid,8.1
93,80,49,27.41,80.57,6.4,90.41,banana,Western Dry Zone,Rabi,7.88
98,89,54,24.49,79.76,5.41,102.68,banana,Southern Hills,Zaid,6.57
98,82,47,26.8,79.38,5.9,104.06,banana,Central Plateau,Rabi,7.73
89,84,52,26.17,80.04,6.46,109.12,banana,Central Plateau,Whole Year,6.74
97,88,55,26.67,79.81,5.89,95.5,banana,Coastal Delta,Whole Year,7.93
95,83,52,27.36,80.0,5.66,105.4,banana,Northeast Plain,Rabi,6.7
102,94,52,25.66,85.18,6.07,106.17,banana,Coastal Delta,Kharif,8.12
102,79,43,26.27,81.85,6.11,88.37,banana,Coastal Delta,Rabi,6.86
108,86,52,27.38,78.28,6.28,108.22,banana,Central Plateau,Whole Year,8.29
98,87,53,27.38,78.45,6.03,90.65,banana,Central Plateau,Rabi,6.82
105,94,55,25.7,81.38,6.12,110.91,banana,Northeast Plain,Zaid,6.56
98,83,52,27.41,75.63,6.07,99.3,banana,Southern Hills,Whole Year,7.38
90,84,50,25.62,82.43,5.32,83.58,banana,Northeast Plain,Rabi,7.98
95,71,43,24.41,79.58,5.71,111.55,banana,Northeast Plain,Whole Year,6.87
92,78,46,26.09,78.05,5.7,122.1,banana,Southern Hills,Zaid,8.15
109,73,48,25.12,80.75,6.4,111.8,banana,Southern Hills,Whole Year,7.68
106,88,53,28.88,77.96,6.25,93.03,banana,Northeast Plain,Rabi,8.23
101,91,49,27.37,82.01,5.59,106.24,banana,Northeast Plain,Whole Year,7.16
96,82,43,27.01,73.6,5.53,91.31,banana,Western Dry Zone,Zaid,7.78
93,87,52,27.11,83.23,5.86,100.22,banana,Coastal Delta,Zaid,7.07
105,91,50,25.19,78.45,6.4,107.77,banana,Northeast Plain,Whole Year,7.17
98,88,52,26.2,80.82,5.42,91.86,banana,Northeast Plain,Rabi,7.12
95,83,45,26.52,85.66,5.95,99.34,banana,Northeast Plain,Whole Year,7.41
109,82,60,25.28,78.43,6.56,98.36,banana,Southern Hills,Whole Year,6.78
96,85,56,25.83,75.63,6.11,120.49,banana,Northeast Plain,Zaid,7.28
109,73,58,26.19,77.6,6.17,93.96,banana,Coastal Delta,Zaid,7.16
93,90,54,27.2,77.88,5.71,102.24,banana,Northeast Plain,Zaid,8.04
96,90,40,27.67,87.11,5.62,113.46,banana,Coastal Delta,Kharif,7.7
89,89,49,26.53,80.61,6.0,90.34,banana,Northeast Plain,Whole Year,8.15
90,77,52,27.93,75.34,6.31,96.94,banana,Central Plateau,Whole Year,6.9
97,84,48,26.77,82.72,5.55,90.65,banana,Western Dry Zone,Zaid,6.56
106,87,59,27.52,75.8,5.61,102.27,banana,Central Plateau,Zaid,7.18
103,78,41,25.46,80.82,5.89,99.15,banana,Southern Hills,Whole Year,6.68
100,77,44,26.45,74.89,5.95,119.15,banana,Western Dry Zone,Rabi,6.63
102,81,47,28.09,81.34,6.29,108.82,banana,Southern Hills,Rabi,6.49
105,71,52,28.43,78.02,6.02,105.42,banana,Central Plateau,Kharif,7.98
98,88,50,26.22,77.28,6.23,104.88,banana,Central Plateau,Whole Year,7.74
105,83,52,25.63,74.12,5.66,86.95,banana,Southern Hills,Kharif,6.91
91,79,50,24.34,81.9,6.67,121.14,banana,Central Plateau,Whole Year,8.0
109,80,47,27.8,75.32,6.39,103.18,banana,Southern Hills,Whole Year,7.03
102,88,56,25.96,85.78,6.46,93.67,banana,Southern Hills,Whole Year,7.78
19,32,26,30.79,51.86,6.69,87.78,mango,Western Dry Zone,Rabi,3.84
27,30,30,30.63,51.78,6.02,92.56,mango,Western Dry Zone,Zaid,3.73
24,29,42,32.23,50.66,6.04,82.76,mango,Southern Hills,Rabi,4.01
18,26,28,35.2,52.92,6.61,100.89,mango,Coastal Delta,Kharif,3.41
11,39,43,32.56,44.5,6.72,95.41,mango,Coastal Delta,Whole Year,4.34
31,25,33,31.94,45.75,6.4,97.79,mango,Coastal Delta,Kharif,5.24
19,30,26,33.49,53.56,6.36,103.71,mango,Western Dry Zone,Kharif,4.24
19,27,43,28.49,45.53,5.86,82.46,mango,Western Dry Zone,Zaid,3.9
25,29,40,32.67,51.0,6.53,99.04,mango,Western Dry Zone,Kharif,4.36
23,23,29,28.08,53.04,6.13,96.12,mango,Coastal Delta,Rabi,5.41
28,27,35,33.37,55.39,6.02,96.58,mango,Southern Hills,Zaid,4.82
25,16,41,29.09,52.05,6.36,100.29,mango,Southern Hills,Rabi,4.76
22,29,22,32.28,50.43,5.76,108.65,mango,Northeast Plain,Kharif,4.24
24,22,23,27.28,47.71,6.37,92.51,mango,Northeast Plain,Zaid,3.52
27,33,35,35.14,47.04,6.37,85.76,mango,Western Dry Zone,Kharif,4.26
14,21,27,28.64,52.48,6.89,99.77,mango,Central Plateau,Rabi,5.32
18,24,30,30.32,52.27,5.62,86.25,mango,Central Plateau,Whole Year,3.77
25,18,31,34.94,53.25,5.85,93.53,mango,Central Plateau,Rabi,4.2
20,27,31,35.07,55.95,5.61,107.82,mango,Southern Hills,Whole Year,4.36
34,30,28,27.04,56.34,6.13,91.95,mango,Western Dry Zone,Whole Year,3.96
25,26,32,30.92,54.06,6.07,91.02,mango,Coastal Delta,Whole Year,4.18
21,21,27,32.42,52.78,6.84,87.17,mango,Western Dry Zone,Kharif,3.67
31,34,28,30.65,45.98,6.35,103.3,mango,Western Dry Zone,Whole Year,3.79
22,28,28,31.8,53.84,6.41,100.56,mango,Coastal Delta,Rabi,4.3
31,25,38,28.11,48.45,6.28,96.75,mango,Southern Hills,Kharif,4.36
19,21,34,27.98,45.84,6.5,91.18,mango,Northeast Plain,Zaid,4.38
12,29,24,27.14,49.79,6.43,98.85,mango,Northeast Plain,Kharif,4.82
22,29,34,32.56,49.6,6.51,94.37,mango,Northeast Plain,Kharif,4.86
18,37,37,32.93,48.33,6.15,100.24,mango,Northeast Plain,Rabi,3.46
19,22,36,34.86,47.78,6.6,89.54,mango,Central Plateau,Whole Year,5.25
34,26,35,28.57,53.47,6.71,88.15,mango,Northeast Plain,Kharif,4.69
24,25,31,34.37,54.16,6.15,92.51,mango,Central Plateau,Kharif,4.57
31,27,21,27.51,52.31,6.58,96.17,mango,Southern Hills,Whole Year,3.59
30,33,25,33.33,48.9,6.34,93.15,mango,Western Dry Zone,Rabi,3.47
27,29,25,34.28,51.87,6.04,100.53,mango,Northeast Plain,Zaid,3.93
23,20,39,31.34,50.61,5.85,89.34,mango,Northeast Plain,Kharif,4.75
32,35,23,29.31,48.77,5.97,98.53,mango,Western Dry Zone,Kharif,5.31
26,31,27,29.1,53.42,6.32,91.35,mango,Central Plateau,Kharif,4.53
24,22,37,26.72,48.83,6.46,98.48,mango,Western Dry Zone,Zaid,4.12
15,31,29,27.82,54.36,6.45,93.83,mango,Central Plateau,Kharif,4.53
26,19,28,28.11,55.51,5.77,98.13,mango,Southern Hills,Rabi,5.04
21,18,34,34.52,56.23,7.03,81.49,mango,Northeast Plain,Rabi,3.45
25,34,43,31.32,51.34,6.67,91.93,mango,Southern Hills,Rabi,4.31
21,38,37,29.98,46.97,6.35,91.6,mango,Coastal Delta,Whole Year,4.69
27,33,33,28.84,53.51,5.58,90.33,mango,Western Dry Zone,Kharif,4.19
31,19,33,32.16,47.47,6.28,93.94,mango,Coastal Delta,Zaid,4.19
26,29,29,32.47,49.27,6.22,94.58,mango,Western Dry Zone,Kharif,4.19
24,28,43,35.12,50.6,5.94,95.26,mango,Southern Hills,Rabi,3.9
31,25,32,34.96,48.93,5.85,98.91,mango,Northeast Plain,Kharif,5.09
19,31,24,33.06,47.83,6.5,96.36,mango,Western Dry Zone,Rabi,4.47
22,22,34,28.42,55.84,5.89,93.52,mango,Western Dry Zone,Kharif,4.44
24,33,22,33.8,48.79,6.83,96.86,mango,Western Dry Zone,Rabi,4.88
23,24,39,27.78,43.26,6.34,99.88,mango,Central Plateau,Zaid,3.49
26,31,43,28.25,54.46,6.28,93.84,mango,Central Plateau,Rabi,4.45
18,26,26,28.07,49.49,6.84,82.6,mango,Southern Hills,Whole Year,4.88
14,27,43,34.72,51.24,6.05,104.49,mango,Southern Hills,Whole Year,5.33
17,27,37,32.87,56.23,6.97,104.2,mango,Northeast Plain,Kharif,4.15
21,31,29,31.39,44.11,6.84,88.96,mango,Southern Hills,Kharif,4.61
17,23,37,27.21,50.73,6.1,91.93,mango,Western Dry Zone,Zaid,4.72
24,31,36,32.15,42.86,6.16,101.74,mango,Southern Hills,Zaid,3.9
30,25,27,34.54,51.24,6.33,90.86,mango,Western Dry Zone,Kharif,4.13
32,26,24,28.34,51.55,6.33,95.2,mango,Central Plateau,Whole Year,4.18
22,33,34,28.23,47.9,6.36,96.05,mango,Western Dry Zone,Whole Year,4.91
24,30,41,27.57,55.38,5.96,91.04,mango,Central Plateau,Rabi,5.2
23,29,36,30.67,53.1,6.18,108.66,mango,Western Dry Zone,Whole Year,3.54
22,28,36,29.56,49.26,5.97,96.68,mango,Southern Hills,Rabi,3.7
20,23,36,27.72,51.08,6.49,99.14,mango,Western Dry Zone,Rabi,3.96
17,16,34,35.54,53.15,6.66,91.73,mango,Coastal Delta,Kharif,4.39
27,28,32,33.01,43.28,6.12,92.34,mango,Central Plateau,Rabi,3.82
14,31,28,27.92,51.05,6.09,83.8,mango,Southern Hills,Rabi,3.43
15,36,28,32.68,47.57,6.2,94.4,mango,Southern Hills,Whole Year,4.49
17,28,25,32.44,47.03,6.57,85.42,mango,Central Plateau,Kharif,4.38
14,23,38,28.69,53.77,6.73,96.94,mango,Western Dry Zone,Whole Year,4.34
19,19,28,31.52,46.91,6.21,105.84,mango,Central Plateau,Zaid,3.59
27,27,37,27.76,52.46,6.54,92.2,mango,Central Plateau,Kharif,4.48
22,18,31,28.84,56.18,6.43,81.64,mango,Coastal Delta,Kharif,3.53
15,24,42,28.58,48.96,5.88,89.96,mango,Southern Hills,Kharif,5.17
32,28,35,26.72,53.09,6.07,103.46,mango,Western Dry Zone,Zaid,4.14
22,34,20,33.85,49.04,6.43,100.79,mango,Northeast Plain,Rabi,3.88
30,26,26,29.15,54.46,6.61,99.37,mango,Southern Hills,Kharif,3.71
30,31,31,28.54,48.99,6.5,101.81,mango,Western Dry Zone,Kharif,4.83
30,29,37,30.18,54.74,6.08,85.55,mango,Central Plateau,Kharif,5.31
25,31,26,26.88,52.2,5.91,95.27,mango,Western Dry Zone,Whole Year,4.35
24,25,29,29.23,51.92,6.05,97.72,mango,Northeast Plain,Zaid,5.31
23,38,22,26.33,47.37,6.29,85.09,mango,Northeast Plain,Zaid,3.98
25,30,30,29.86,47.77,6.14,97.23,mango,Southern Hills,Zaid,5.07
28,25,42,31.95,43.09,6.2,102.55,mango,Northeast Plain,Whole Year,4.35
19,30,32,34.24,47.67,6.61,101.89,mango,Southern Hills,Whole Year,3.57
15,26,43,32.52,57.8,5.9,87.74,mango,Southern Hills,Rabi,4.46
21,20,41,34.36,50.52,6.62,97.24,mango,Coastal Delta,Zaid,4.44
25,32,24,35.6,54.52,6.74,104.94,mango,Southern Hills,Rabi,5.28
24,21,45,27.01,46.67,6.43,97.23,mango,Northeast Plain,Zaid,5.37
17,29,26,27.8,50.35,6.84,89.99,mango,Coastal Delta,Whole Year,3.75
22,21,28,27.71,43.55,6.58,100.96,mango,Central Plateau,Zaid,4.54
22,28,27,27.87,43.14,6.51,85.81,mango,Northeast Plain,Rabi,5.04
23,24,28,29.12,55.75,6.06,98.2,mango,Southern Hills,Whole Year,3.97
30,23,45,30.15,49.2,6.24,93.43,mango,Western Dry Zone,Zaid,5.1
13,26,39,29.98,51.37,6.05,93.31,mango,Central Plateau,Rabi,4.12
18,23,31,35.31,51.53,6.33,87.06,mango,Coastal Delta,Zaid,3.73
27,24,32,34.52,51.04,6.65,97.42,mango,Western Dry Zone,Zaid,4.54
16,128,192,33.26,81.45,6.0,82.96,grapes,Coastal Delta,Whole Year,5.0
30,116,200,16.52,79.89,6.05,82.37,grapes,Western Dry Zone,Kharif,5.37
22,137,196,20.69,79.21,5.79,71.06,grapes,Central Plateau,Zaid,7.24
23,141,202,16.23,82.82,5.4,78.87,grapes,Southern Hills,Zaid,6.86
31,135,205,24.51,80.92,5.55,74.27,grapes,Coastal Delta,Zaid,7.26
38,119,206,13.9,80.54,5.57,71.1,grapes,Coastal Delta,Zaid,6.01
27,127,209,26.81,81.95,5.67,70.11,grapes,Coastal Delta,Whole Year,5.89
24,136,199,12.64,83.03,5.86,63.37,grapes,Southern Hills,Whole Year,6.34
26,140,194,30.34,79.24,5.49,69.88,grapes,Central Plateau,Kharif,6.74
27,121,200,12.36,83.18,5.96,66.53,grapes,Coastal Delta,Zaid,4.63
22,137,199,12.68,79.88,5.75,73.93,grapes,Coastal Delta,Kharif,5.96
33,123,206,28.32,78.97,5.74,66.43,grapes,Central Plateau,Whole Year,5.51
24,131,192,23.56,79.7,5.77,69.84,grapes,Southern Hills,Zaid,5.37
23,135,197,35.66,83.23,5.89,77.57,grapes,Northeast Plain,Kharif,6.2
28,131,204,16.92,79.93,5.98,79.65,grapes,Coastal Delta,Rabi,4.95
18,122,195,25.85,80.4,6.0,58.74,grapes,Coastal Delta,Kharif,5.31
15,135,205,36.46,77.28,5.91,65.11,grapes,Western Dry Zone,Whole Year,5.41
34,130,198,18.96,82.21,6.02,75.99,grapes,Coastal Delta,Whole Year,6.29
36,123,200,14.06,82.1,5.44,69.11,grapes,Coastal Delta,Rabi,5.01
27,124,195,23.05,78.3,5.69,70.95,grapes,Central Plateau,Zaid,6.89
38,139,205,22.02,84.42,5.92,64.62,grapes,Southern Hills,Whole Year,5.71
32,124,196,14.24,83.28,5.96,77.15,grapes,Central Plateau,Zaid,6.52
31,125,202,22.83,81.32,6.0,62.39,grapes,Coastal Delta,Whole Year,6.65
23,130,202,31.51,82.95,5.79,75.44,grapes,Western Dry Zone,Zaid,4.77
35,135,199,11.49,79.68,5.92,77.76,grapes,Central Plateau,Zaid,6.68
21,126,192,27.94,83.71,5.54,66.49,grapes,Central Plateau,Rabi,6.08
35,143,202,15.09,79.76,5.68,81.11,grapes,Southern Hills,Kharif,6.61
33,135,202,26.7,80.88,5.75,74.11,grapes,Central Plateau,Kharif,5.97
25,131,197,20.67,77.84,5.76,72.89,grapes,Western Dry Zone,Whole Year,6.26
25,126,204,38.8,82.77,5.87,76.31,grapes,Southern Hills,Rabi,4.99
33,133,203,17.58,78.58,5.97,78.69,grapes,Coastal Delta,Zaid,5.52
27,123,199,23.83,81.5,5.54,67.91,grapes,Coastal Delta,Kharif,5.37
17,130,200,32.0,82.38,6.04,67.97,grapes,Southern Hills,Whole Year,5.12
21,137,207,31.47,80.06,5.66,75.24,grapes,Southern Hills,Rabi,6.54
26,119,202,37.41,82.57,5.98,64.22,grapes,Western Dry Zone,Whole Year,5.41
29,123,194,15.29,80.7,5.93,75.06,grapes,Northeast Plain,Whole Year,6.65
34,121,200,14.39,82.55,5.69,67.94,grapes,Northeast Plain,Kharif,6.14
37,125,200,16.02,83.41,5.93,78.44,grapes,Western Dry Zone,Rabi,5.93
22,133,193,23.66,80.25,5.53,64.76,grapes,Southern Hills,Zaid,5.36
20,123,197,30.21,82.88,6.17,60.51,grapes,Central Plateau,Kharif,6.0
26,119,200,25.05,80.84,5.64,64.31,grapes,Central Plateau,Zaid,6.18
21,137,197,21.35,80.16,5.85,75.7,grapes,Northeast Plain,Zaid,5.21
21,127,194,27.8,79.5,5.5,71.32,grapes,Central Plateau,Whole Year,6.7
24,132,201,13.42,82.18,5.67,78.38,grapes,Southern Hills,Kharif,5.67
20,137,200,11.62,79.63,6.08,63.45,grapes,Southern Hills,Kharif,5.82
32,117,209,30.47,82.11,5.86,69.51,grapes,Central Plateau,Zaid,6.79
31,123,195,36.72,80.32,5.63,75.85,grapes,Northeast Plain,Kharif,5.41
32,121,199,28.19,82.64,5.37,71.64,grapes,Southern Hills,Whole Year,6.19
15,129,200,20.19,84.41,5.86,67.76,grapes,Northeast Plain,Zaid,6.02
38,130,204,17.08,80.65,5.52,66.52,grapes,Western Dry Zone,Rabi,6.56
25,138,195,33.37,81.34,5.79,61.3,grapes,Central Plateau,Rabi,6.79
33,128,203,30.7,78.43,5.75,58.27,grapes,Central Plateau,Rabi,6.69
22,123,195,14.75,84.67,5.6,76.57,grapes,Northeast Plain,Zaid,5.31
30,125,204,13.29,83.47,5.59,62.83,grapes,Southern Hills,Zaid,5.09
32,137,201,11.45,80.0,5.33,74.64,grapes,Coastal Delta,Rabi,4.9
34,127,205,17.5,82.84,5.36,69.32,grapes,Central Plateau,Whole Year,5.07
36,129,191,22.16,82.8,5.91,80.06,grapes,Southern Hills,Kharif,5.95
29,129,198,14.25,78.96,6.03,69.86,grapes,Northeast Plain,Kharif,4.99
31,133,192,25.74,83.7,5.35,61.84,grapes,Central Plateau,Whole Year,5.51
25,136,203,21.4,82.05,5.78,67.27,grapes,Western Dry Zone,Whole Year,5.6
37,126,208,40.61,79.23,5.95,60.6,grapes,Southern Hills,Zaid,5.03
30,127,206,23.14,80.78,6.21,65.22,grapes,Northeast Plain,Zaid,6.17
33,140,205,16.53,84.73,6.14,80.4,grapes,Western Dry Zone,Kharif,5.52
23,130,200,25.83,83.22,5.84,57.26,grapes,Southern Hills,Rabi,7.17
30,136,204,19.64,79.6,5.98,75.44,grapes,Central Plateau,Whole Year,6.05
21,129,207,18.73,83.28,6.06,62.24,grapes,Northeast Plain,Whole Year,6.34
31,121,200,22.0,82.19,5.43,80.15,grapes,Central Plateau,Kharif,6.8
22,126,200,19.9,83.25,5.79,82.69,grapes,Southern Hills,Rabi,7.12
31,127,199,38.65,85.59,5.7,63.88,grapes,Central Plateau,Rabi,5.89
35,132,196,19.01,81.44,5.34,77.39,grapes,Central Plateau,Whole Year,5.1
23,120,200,26.56,82.23,5.66,75.89,grapes,Western Dry Zone,Kharif,5.65
